priority,rule_name,category,pattern,dr_cr,description
19,external_paypal_worldremit,transfer,\b(paypal australia|worldremit)\b,, "PayPal Australia / WorldRemit"
20,external_commbank_name,transfer,\btransfer (to|from) [a-z][a-z .'-]+ commbank app\b,, "Transfer to/from name CommBank App"
21,external_paypal_direct_debit,transfer,^direct debit \d+ paypal australia \d+$,, "Direct Debit PayPal Australia"
22,external_paypal_authority,transfer,^payment by authority to paypal australia \d+$,, "Payment by authority to PayPal"
23,external_paypal_payment,transfer,^payment to paypal australia \d+$,, "Payment to PayPal Australia"
24,external_paypal_account,transfer,^paypal australia \d+$,, "PayPal Australia account"
25,external_tfr_from_s_mob,transfer,^tfr from \d+s\d+ mob$,, "TFR from S#### mob"
26,external_tfr_from_long_mob,transfer,^tfr from \d+ mob$,, "TFR from ###### mob"
27,external_worldwide_wallet,transfer,^deposit online \d+ \d+ tfr worldwide wallet$,, "Deposit online TFR Worldwide Wallet"
28,external_wu,transfer,^wu \d+$,, "Western Union"
29,external_transfer_funds_trns,transfer,^transfer debit internet transfer funds trns$,, "Transfer debit internet transfer funds"
30,external_wise_card,transfer,^wise sydney au aus card xx\d{4} value date: \d+/\d+/\d+$,, "Wise Sydney card transaction"
31,external_taptap_send,transfer,^taptap send sydney aus card xx\d{4} value date: \d+/\d+/\d+$,, "TapTap Send Sydney"
32,external_online_withdrawal_worldwide_wallet,transfer,^withdrawal online \d+ \d+ tfr worldwide wallet$,, "Withdrawal online TFR Worldwide Wallet"
33,external_mobile_transfer,transfer,\btfr (to|from) .*\b(mob|mobile)\b,, "TFR to/from mobile"
34,external_withdrawal_mobile_pymt,transfer,\bwithdrawal mobile\b.*\bpymt\b,, "Withdrawal mobile payment"
35,external_nab_transfer_credit,transfer,^transfer credit (?!online\b),, "NAB Transfer Credit"
36,external_nab_transfer_debit,transfer,^transfer debit (?!online\b),, "NAB Transfer Debit"
37,external_internet_banking,transfer,^internet (?:withdrawal|deposit|external transfer)\b,, "Internet banking transfer"
38,external_tfr_to_from,transfer,\btfr (?:to|from)\b,, "TFR to/from"
39,external_nabpay,transfer,\bnabpay\d+,, "NAB Pay (BPAY variant)"
40,external_phone_internet_tfr,transfer,\bphone/internet tfr\b,, "Phone/Internet TFR"
41,external_transferred_to_from_num,transfer,\btransferred (?:to|from) \d,, "Transferred to/from number"
42,external_direct_debit_with_bsb,transfer,^direct debit \d+,debit,"Direct Debit with BSB — broader than exact match"
43,external_direct_debit_slash_format,transfer,^direct debit /,debit,"DIRECT DEBIT / company / reference format"
44,external_commbank_bpay,transfer,\bcommbank app bpay\b,debit,"CommBank App BPAY payment"
45,external_e_banking_transfer,transfer,^e-banking transfer /,, "ANZ E-Banking Transfer"
46,external_transfer_from_cba_netbank,transfer,^transfer from cba netbank\b,,"Transfer from CBA NetBank"
47,external_netbank_transfer,transfer,\bnetbank transfer\b,,"NetBank Transfer"
48,external_remitly,transfer,\brmtly\b,,"Remitly international money transfer (RMTLY card)"
49,external_ria_financial,transfer,\bria\s+financial\b,,"RIA Financial international remittance"
50,external_misc_debit_wise,transfer,\bmiscellaneous\s+debit.*\bwise\b,,"Miscellaneous Debit with Wise (NAB)"
51,external_withdrawal_mobile_intl,transfer,\bwithdrawal\s+mobile.*\bintl\b,,"Withdrawal Mobile INTL — international transfer"
52,external_eftpos_western_union,transfer,\beftpos.*\bwestern\s+union\b,,"EFTPOS at Western Union — money transfer"
53,external_transfer_to_other_bank,transfer,\btransfer to other bank\b,,"Transfer to other bank — explicit external transfer"
54,external_moneygram,transfer,\bmoneygram\b,,"MoneyGram international money transfer"
55,external_western_union_card,transfer,\bwestern union\b.*\bcard xx\d{4},,"Western Union card transaction"
56,external_transfer_to_account_number,transfer,"\btransfer to \d{6,}",,"Transfer to account number (6+ digits)"
57,external_paypal_exact,transfer,^paypal$,,"PayPal exact text (payment platform, never internal)"
