keyword,counterparty,product_type,match_type
Ferratum; FERRATUM,Ferratum,personal_loan,keyword
Save My Bacon; SAVE MY BACON,Save My Bacon,personal_loan,keyword
Debt Buddy; DEBT BUDDY,debt buddy,personal_loan,keyword
Bizcap; BIZCAP,Bizcap,personal_loan,keyword
Prospa; PROSPA,Prospa,personal_loan,keyword
Capify; CAPIFY,Capify,personal_loan,keyword
On Deck Capital; ON DECK CAPITAL; OnDeck,OnDeck,personal_loan,keyword
Finstro; FINSTRO,Finstro,personal_loan,keyword
Bizfund; BIZFUND,Bizfund,personal_loan,keyword
Fundspot; FUNDSPOT,Fundspot,personal_loan,keyword
FundTap; FUNDTAP,FundTap,personal_loan,keyword
Funds Now; FUNDS NOW,Funds Now,personal_loan,keyword
Fifmo Capital; FIFMO,Fifmo Capital,personal_loan,keyword
Scottish Pacific; SCOTTISH PACIFIC,Scottish Pacific,personal_loan,keyword
Flexicommercial; FLEXICOMMERCIAL,Flexicommercial,personal_loan,keyword
Shift Debit; SHIFT DEBIT; SHIFT FINANCIAL,Shift Financial,personal_loan,keyword
Earlypay; EARLYPAY,Earlypay,personal_loan,keyword
Finsure; FINSURE,Finsure,personal_loan,keyword
Marketlend; MARKETLEND,Marketlend,personal_loan,keyword
Vine Capital; VINE CAPITAL,Vine Capital,personal_loan,keyword
Shopify Capital; SHOPIFY COMMERCE,Shopify Capital,personal_loan,keyword
Audi Finance; AUDI FINANCE,Audi Finance,personal_loan,keyword
BMW Finance; BMW AUST FINANCE; BMW AUST FIN,BMW Finance,personal_loan,keyword
Lexus Finance; LEXUS FINANCE; LEXUS FINANCIAL,Lexus Finance,personal_loan,keyword
Subaru Finance; SUBARU FINANCIAL SERVICES,Subaru Finance,personal_loan,keyword
Suzuki Finance; SUZUKI FINANCE,Suzuki Finance,personal_loan,keyword
Hyundai Capital; HYUNDAI CAPITAL,Hyundai Capital,personal_loan,keyword
Holden Financial; HOLDEN FINANCIAL,Holden Financial,personal_loan,keyword
Motor Trade Finance; MTF Finance,Motor Trade Finance,personal_loan,keyword
Trinity Auto Finance; TRINITYAUTO FINANCE,Trinity Auto Finance,personal_loan,keyword
Astute Motor Finance; ASTUTEMOTORFINAN,Astute Motor Finance,personal_loan,keyword
Australian Motorcycle and Marine Finance; AUSTRALIAN MOTORCYCL; AMMF,Australian Motorcycle and Marine Finance,personal_loan,keyword
A1 Cars Finance; A1 CARS,A1 Cars Finance,personal_loan,keyword
Cars On Terms; CARS ON TERMS,Cars On Terms,personal_loan,keyword
Right Road Finance; RIGHT ROAD FINAN,Right Road Finance,personal_loan,keyword
Drive Car Finance; DRIVE CAR FINANCE,Drive Car Finance,personal_loan,keyword
Fleetcare; FLEETCARE,Fleetcare,personal_loan,keyword
Mercedes-Benz Fin; MERCEDES-BENZ FIN,Mercedes-Benz Financial Services,personal_loan,keyword
Bluestone; BLUESTONE MORTGAGES; BLUESTONE GROUP,Bluestone Australia,personal_loan,keyword
Keystart Loans; KEYSTART LOANS,Keystart Loans,personal_loan,keyword
La Trobe Financial; LA TROBE FINANCIAL,La Trobe Financial,personal_loan,keyword
HomeStart Finance; HOMESTART FINANCE,HomeStart Finance,personal_loan,keyword
Heartland Bank Loans; HEARTLAND BANK LOANS,Heartland Bank Loans,personal_loan,keyword
Mortgage House Capital; MORTGAGE HOUSE,Mortgage House Capital,personal_loan,keyword
Mutual Mortgage; MUTUAL MORTGAGE,Mutual Mortgage,personal_loan,keyword
AFG Loans,AFG Loans,personal_loan,keyword
Judo Bank Loans; JUDO BANK,Judo Bank Loans,personal_loan,keyword
BC Invest; BC INVEST,BC Invest,personal_loan,keyword
SMSF Loans,SMSF Loans,personal_loan,keyword
Lumi Finance; LUMI FINANCE,Lumi Finance,personal_loan,keyword
Power Alliance Finance; POWER ALLIANCE FINANCE,Power Alliance Finance,personal_loan,keyword
SRG Finance; SRG FINANCE,SRG Finance,personal_loan,keyword
Metro Finance; METRO FINANCE,Metro Finance,personal_loan,keyword
Rapid Finance; RAPID FINANCE,Rapid Finance,personal_loan,keyword
Speedy Finance; SPEEDY FINANCE,Speedy Finance,personal_loan,keyword
Yes Finance; YES FINANCE,Yes Finance,personal_loan,keyword
Friendly Loans; FRIENDLY LOANS,Friendly Loans,personal_loan,keyword
Albany Finance,Albany Finance,personal_loan,keyword
Aotea Finance,Aotea Finance,personal_loan,keyword
Avanti Finance,Avanti Finance,personal_loan,keyword
CFI Finance,CFI Finance,personal_loan,keyword
CFS Finance,CFS Finance,personal_loan,keyword
Oxford Finance; OXFORD FINANCE,Oxford Finance,personal_loan,keyword
Pioneer Finance; PIONEER FINANCE,Pioneer Finance,personal_loan,keyword
Morris Finance; MORRIS FINANCE,Morris Finance,personal_loan,keyword
Capital Finance; CAPITAL FINANCE,Capital Finance,personal_loan,keyword
Coogans Finance,Coogans Finance,personal_loan,keyword
Jade Finance; JADE FINANCE,Jade Finance,personal_loan,keyword
Pronto Finance; PRONTO FINANCE,Pronto Finance,personal_loan,keyword
Parallel Finance; PARALLEL FINANCE,Parallel Finance,personal_loan,keyword
Direct Finance; DIRECT FINANCE,Direct Finance,personal_loan,keyword
Instant Finance; INSTANT FINANCE,Instant Finance,personal_loan,keyword
Unsecured Finance; UNSECURED FINANCE,Unsecured Finance,personal_loan,keyword
Perth Premium Financial; PERTH PREMIUM FU,Perth Premium Financial,personal_loan,keyword
Perpetual; PERPETUAL LIMITED,Perpetual Limited,personal_loan,keyword
Advantedge; ADVANTEDGE,Advantedge,personal_loan,keyword
Allied Credit; ALLIED CREDIT,Allied Credit,personal_loan,keyword
Columbus Capital; COLUMBUS CAPITAL,Columbus Capital,personal_loan,keyword
Amanzica; AMANZICA,Amanzica,personal_loan,keyword
Etika; ETIKA AUSTRALIA,Etika Australia,personal_loan,keyword
LatitudePay Australia; LATITUDEPAY AUST,LatitudePay Australia,personal_loan,keyword
UCFS Australia; UCFS AUSTRALIA; United Consumer Financial,UCFS Australia,personal_loan,keyword
QPR Limited; QPR FINANCE; QPR LIMITED,QPR Limited,personal_loan,keyword
Madura Ltd; MADURA LTD,Madura Ltd,personal_loan,keyword
Sovereign Credit; SOVEREIGN CREDIT,Sovereign Credit,personal_loan,keyword
Skyecap; SKYECAP,Skyecap,personal_loan,keyword
BiiGGA,BiiGGA,personal_loan,keyword
ZeeFi; ZEEFI,ZeeFi,personal_loan,keyword
CashWise; CASHWISE; ZETHUS,Zethus Holdings,personal_loan,keyword
Elevant; ELEVANT,Elevant,personal_loan,keyword
Multipli; MULTIPLI,Multipli,personal_loan,keyword
JD Financials; JD FINANCIALS,JD Financials,personal_loan,keyword
Gamma Duo; GAMMA DUO,Gamma Duo,personal_loan,keyword
Forget Reg; FORGET REG,Forget Reg,personal_loan,keyword
Motion Money; MOTION MONEY,Motion Money,personal_loan,keyword
Moula Money; MOULA MONEY,Moula Money,personal_loan,keyword
iNNiMoney; INNI MONEY,iNNiMoney,personal_loan,keyword
Dollar Dealers; DOLLAR DEALERS,Dollar Dealers,personal_loan,keyword
EBP Money; EBP MONEY,EBP Money,personal_loan,keyword
ZIPPLUS,Zip Plus,bnpl,keyword
ZIP CO NZ,Zip Pay,bnpl,keyword
STEPPAY; STEPPAY REFUND; STEPPAY ACT REFUND,CBA StepPay,bnpl,keyword
MRG CUSTODIANS PTY LTD,Gimmie,bnpl,keyword
CERTEGY EZIPAY; COXIPAY,Humm,bnpl,keyword
BEFORE PAY; PAYMENTS@BEFOR; CHEQ PTY LTD,Beforepay,wage_advance,keyword
MPN REPAYMENT,MyPayNow,wage_advance,keyword
WAGEPA,Wagepay,wage_advance,keyword
SWAG INSTAPAY,Earned Wage Access,wage_advance,keyword
SUNSHINE REPAYME; SUNSHINE LOAN CENTRE,Sunshine Loans,personal_loan,keyword
LATITUDE P LOANS; LATITUDE PERSNL LOAN; LATITUDE LOANS,Latitude Financial,personal_loan,keyword
CIGNO AUSTRALIA,Cigno Loans,personal_loan,keyword
FIN ONE PTY LTD; FIN ONE SPV; FIN ONE,Finance One,personal_loan,keyword
AZORA PERSONAL LOANS,Azora Finance,personal_loan,keyword
SECURE FUNDING P,Liberty Financial,personal_loan,keyword
EZI*CASHTRAIN; CASHTRAINBRANCH,Cash Train,personal_loan,keyword
ABAZ PTY LTD,MoneyPlus,personal_loan,keyword
ST GEORGE COMM FINAN; ST GEORGE BANK,St George Loans,personal_loan,keyword
ANGLE AUTO FINANCE; ANGLE AUTO FINAN,Angle Finance,personal_loan,keyword
FINANCIER,360 Cash Loans,personal_loan,keyword
SWOOSH LOSS RECO,Swoosh Finance,personal_loan,keyword
POWERTORQUE FIN; POWER TORQUE FINANC,Toyota Finance,personal_loan,keyword
VW FINANCE,Volkswagen Financial,personal_loan,keyword
APSBS,APS Loans,personal_loan,keyword
MOTORCYCLE FINANCE; AUTOME FINANCE; WEEKEND TOY FINANC; AMO AMO,Allied Retail Finance,personal_loan,keyword
FMC,First Mortgage Company,personal_loan,keyword
CASHSTOP,Cash Stop,personal_loan,keyword
UNITED LOAN SOLUTIONS,Gedda Money,personal_loan,keyword
LEASE PAY,Macquarie Leasing,personal_loan,keyword
EZI*IPF DIGITAL; IPF DIGITAL AUSTRALIA,Credit24,personal_loan,keyword
MYOZMONEY; OZ MONEY; OZMONEY,My OZ Money,personal_loan,keyword
GOOD 2 GO LOANS; G2G LOANS,Good To Go,personal_loan,keyword
BRANDED FINANCIA; BRANDED FINANCE SERVICES,Branded Financial,personal_loan,keyword
PEPPER ASSET FINANCE; PEPPER AUTO DIRECT; PEPPER FINANCE COR,Pepper Money,personal_loan,keyword
MONEYPLACE LENDI,Money Place,personal_loan,keyword
EASYBONDPAY PTY; PRINCIPAL FINANCE PTY; PF INSURANCE,Arteva Funding,personal_loan,keyword
TAURUS MOTOR FIN; TAURUS FINANCE,Taurus Motor Finance,personal_loan,keyword
UGO,JP Finance and Investment,personal_loan,keyword
M3 COLLECTIONS; M3 LOAN CENTRE,Money3,personal_loan,keyword
RADIORENT; RENTLO; RADIO RENTALS,Thorn Group,personal_loan,keyword
SNP INTERNATIONAL,Cash Now,personal_loan,keyword
CCPF PL,Cash Converters,personal_loan,keyword
RATESETTER,Plenti,personal_loan,keyword
CD ADVANCE,Cash Direct,personal_loan,keyword
SPAREN PTY LTD,City Finance,personal_loan,keyword
PAYMENT ADVANTAGE,DentiCare,personal_loan,keyword
REDTREE FINANCE,Red Tree Finance,personal_loan,keyword
COOKIEDEA PTY LT,Champion Loans,personal_loan,keyword
SQUARE AU PTY LT,Square Loans,personal_loan,keyword
PAYFASTER; FASTER FINANCIAL,CashFaster,personal_loan,keyword
AUSTRALIAN SYNERGY FINANCE,MyCashOnline,personal_loan,keyword
NF FINCO,Now Finance,personal_loan,keyword
EZI*FAIR GO FINANC; FAIR GO,Fair Go Finance,personal_loan,keyword
MONEY CENTER; MONEYCENTRECROYD,Money Centre,personal_loan,keyword
SHIMTEC; SHIMTEC PTY LTD,Sure Cash,personal_loan,keyword
RAPID LOAN,Rapid Loans,personal_loan,keyword
SIMPLE FINANCE GROUP,CashPal,personal_loan,keyword
PAYWAY,Salt and Lime,personal_loan,keyword
READY CREDIT; REWRITE READY CR; REWRITE CARDS,Citibank Loans,personal_loan,keyword
MAZDA FINA,Mazda Finance,personal_loan,keyword
INITIUM CAPITAL,Fundo Loans,personal_loan,keyword
CASHN GO; VENTURE 5 GROUP,Cash N Go,personal_loan,keyword
CASHSAVVY.NET.AU,Cash Savvy,personal_loan,keyword
SAFEFINANCE,Safe Financial,personal_loan,keyword
STAYFINANCE,Stay Finance,personal_loan,keyword
FLASHMONEY,Flash Money,personal_loan,keyword
RENT4KEEPS; EZI*R4K; EZI*RENT4KEEPS,R4K Group,personal_loan,keyword
INRENT; WALKER STORES,Snaffle,personal_loan,keyword
1ST CHOICE APPLIANCE; 1ST CHOICE APPLI,1st Choice Rentals,personal_loan,keyword
DIFRENT,Difrent Rental,personal_loan,keyword
KWIK FINANCE,Affordable Car Loans,personal_loan,keyword
NISSAN FS,Nissan Finance,personal_loan,keyword
GREEN LIGHT AUTO,Green Light Auto Finance,personal_loan,keyword
AUTO FINANCIAL SRVCS,Automotive Financial Services,personal_loan,keyword
MB FINANCIAL; MB FINANCIAL CONTRACT,Mercedes-Benz Financial Services,personal_loan,keyword
CAR COOP,CarCoop,personal_loan,keyword
New Start Auto Loans; New Start Auto; NEW START AUTO,New Start Auto Loans,personal_loan,keyword
Auto Finance Loans; Auto Finance Loan; AUTO FINANCE LOANS,Auto Finance Loans,personal_loan,keyword
Go Car Finance; Go Car Fin; GO CAR FINANCE,Go Car Finance,personal_loan,keyword
ANZ Asset Finance; ANZ Asset Fin; ANZASSET,ANZ Asset Finance,personal_loan,keyword
RACV Finance; RACV Fin; RACV FINANCE,RACV Finance,personal_loan,keyword
RACQ Finance; RACQ Fin; RACQ FINANCE,RACQ Finance,personal_loan,keyword
DT\.[A-Za-z0-9]+\s+Sunshine,Sunshine Loans,personal_loan,regex
AZORA ASSET FINA,Azora Finance,personal_loan,keyword
