pattern_group,pattern,match_type,description
centrelink,\bJOB\s*SEEKER\b,regex,JOB SEEKER
centrelink,\bJOBSEEKER\b,regex,JOBSEEKER
centrelink,\bPARENTING\s*PAYMENT\b,regex,PARENTING PAYMENT
centrelink,\bCARER\s*PAYMENT\b,regex,CARER PAYMENT
centrelink,\bDISABILITY\s*SUPPORT\b,regex,DISABILITY SUPPORT
self_employed_gig,\bUBER\b,regex,UBER
self_employed_gig,\bUBER\s*PARTNER\b,regex,UBER PARTNER
self_employed_gig,\bDOOR\s*DASH\b,regex,DOOR DASH
self_employed_gig,\bDOORDASH\b,regex,DOORDASH
self_employed_gig,\bMENULOG\b,regex,MENULOG
self_employed_gig,\bDELIVEROO\b,regex,DELIVEROO
self_employed_gig,\bAIRTASKER\b,regex,AIRTASKER
self_employed_gig,\bPAYMENT\s*FOR\s*SERVICES?\b,regex,PAYMENT FOR SERVICE(S)
self_employed_gig,\bINVOICE\b,regex,INVOICE
self_employed_gig,\bCONTRACTOR\b,regex,CONTRACTOR
self_employed_gig,\bBUSINESS\s*PAYMENT\b,regex,BUSINESS PAYMENT
self_employed_gig,\bBUSINESS\s*INCOME\b,regex,BUSINESS INCOME
self_employed_gig,\bSETTLEMENT\b,regex,SETTLEMENT
self_employed_gig,\bSTRIPE\b,regex,STRIPE
self_employed_gig,\bSQUARE\b,regex,SQUARE
self_employed_gig,\bPAYPAL\b,regex,PAYPAL
self_employed_gig,\bSHOPIFY\b,regex,SHOPIFY
self_employed_gig,\bPARTNER\s+PAYMENT\b,regex,Gig platform partner payment (approx)
self_employed_gig,\bPAYMENT\s*LINK\b,regex,PaymentLink gig platform payout
self_employed_gig,\bDIDI\s+PARTNER\s+PAYMENT\b,regex,DiDi partner payment (not PayID-name DiDi)
self_employed_gig,\bTRANSPORT\s+PARTNER\s+PAYMENT\b,regex,Transport gig partner payment
self_employed_gig,\bAMAZON\s+PAYMENT\b,regex,Amazon gig payout (not employer Amazon SEV)
self_employed_gig,\bTHERIGHTFIT\b,regex,TheRightFit gig platform
self_employed_gig,\bJIMMY\s+BRINGS\b,regex,Jimmy Brings delivery platform
self_employed_gig,\bTIPALTI\b,regex,Tipalti gig payout platform
self_employed_gig,\bHUNGRY\s*PANDA\b,regex,HungryPanda delivery platform
self_employed_gig,\bSPOTTO\b,regex,Spotto gig platform
self_employed_gig,\bEFTPOS\s+PAYMENT\b,regex,EFTPOS payment (self-employed income)
self_employed_gig,\bEFTPOS\s+TERMINAL\b,regex,EFTPOS terminal payment (self-employed)
self_employed_gig,\bNATIONAL\s+BILLING\b,regex,National Billing self-employed payout
self_employed_gig,\bHNRY\b,regex,Hnry self-employed tax/payout service
self_employed_gig,\bTIMELY\s*PAY\b,regex,TimelyPay self-employed payout
self_employed_gig,\bMERCHANT\s+WARRIOR\b,regex,Merchant Warrior payment gateway
self_employed_gig,\bLIGHTSPEED\b,regex,Lightspeed POS self-employed payout
self_employed_gig,\bNAYAX\b,regex,Nayax payment platform
self_employed_gig,\bB2B\s*PAY\b,regex,B2BPay business-to-business payout
wage_advance,\bBEFOREPAY\b,regex,BEFOREPAY
wage_advance,\bMYPAYNOW\b,regex,MYPAYNOW
wage_advance,\bWAGETAP\b,regex,WAGETAP
wage_advance,\bSTEPPAY\b,regex,STEPPAY
wage_advance,\bPRESS\s*PAY\b,regex,PRESS PAY
wage_advance,\bPRESSPAY\b,regex,PRESSPAY
wage_advance,\bWAGEPAY\b,regex,WAGEPAY
return_like,\bRETURN\b,regex,RETURN
return_like,\bDISHONOU?R(?:ED)?\b,regex,DISHONOUR/DISHONOURED
return_like,\bREVERSAL\s+OF\s+DEBIT\b,regex,REVERSAL OF DEBIT
hard_negative,\bINTERNAL\s*TRANSFER\b,regex,INTERNAL TRANSFER
hard_negative,\bLINKED\s*ACC\b,regex,LINKED ACC
hard_negative,\bREFUND\b,regex,REFUND
hard_negative,\bREVERSAL\b,regex,REVERSAL
hard_negative,\bADJUSTMENT\b,regex,ADJUSTMENT
hard_negative,\bREBATE\b,regex,REBATE
hard_negative,\bCASHBACK\b,regex,CASHBACK
hard_negative,\bLOAN\b,regex,LOAN
hard_negative,\bADVANCE\b,regex,ADVANCE
hard_negative,\bCENTRE\s*LINK\b,regex,CENTRE LINK
hard_negative,\bCENTRELINK\b,regex,CENTRELINK
hard_negative,\bCTRLINK\b,regex,CTRLINK
hard_negative,\bSERVICES\s*AUSTRALIA\b,regex,SERVICES AUSTRALIA
hard_negative,\bATO\b,regex,ATO
hard_negative,\bTAX\b,regex,TAX
hard_negative,\bINTEREST\b,regex,INTEREST
hard_negative,\bDIVIDEND\b,regex,DIVIDEND
hard_negative,\bBNPL\b,regex,BNPL
hard_negative,\bZIP\b,regex,ZIP
hard_negative,\bAFTERPAY\b,regex,AFTERPAY
hard_negative,\bWITHDRAWAL\b,regex,WITHDRAWAL
soft_negative,\bTRANSFER\b,regex,TRANSFER
soft_negative,\bOSKO\b,regex,OSKO
gig_exclusion_extra,\bLOAN\s*DEPOSIT\b,regex,LOAN DEPOSIT exclusion for gig
hard_negative,\bMEDICARE\b,regex,Medicare rebate/refund credit
hard_negative,\bMCARE\b,regex,MCARE benefits (Medicare)
hard_negative,\bNIB\b,regex,NIB health insurance rebate
hard_negative,\bREDRAW\b,regex,Loan redraw proceeds
hard_negative,\bMORTGAGE\b,regex,Mortgage-related credit
hard_negative,\bUNPAID\b,regex,UNPAID item / returned cheque (not income)
wage_advance,\bWAGE\s*ACCESS\b,regex,Earned Wage Access / wage advance service
wage_advance,\bEARNED\s*WAGE\s*ACCESS\b,regex,Earned Wage Access explicit variant
wage_advance,\bEARNEDWAGE\s*ACCESS\b,regex,Earned Wage Access concatenated (EARNEDWAGE ACCESS / EARNEDWAGEACCESS; aligns with liability engine keyword)
centrelink,\bCHILD\s*SUPPORT\b,regex,Child Support (government agency)
centrelink,\bCHILD\s*ASSIST\w*\b,regex,CHILDASSISTPYMT etc.
centrelink,\bCARER\s*SUPPLEM\w*\b,regex,CARERSUPPLEMTCA (carer supplement)
gig_exclusion_extra,UBER\s*\*?\s*EATS,regex,Uber Eats refund/reversal (not gig income)
transfer_from,\bTRANSFER\s+FROM\b,regex,TRANSFER FROM flag (hard negative is waived when a strong wage keyword is present)
hard_negative,\bLOANAD\b,regex,MONEYSPOT LOANAD payday-loan product code
hard_negative,\bFIN\s+ONE\b,regex,FIN ONE PTY LTD payday lender
pay_signal,\bPAY\b,regex,Standalone PAY word (transfer-from payroll signal)
behavior_exclusion,\bDEPOSIT\s*ONLINE\s+\d+\s+TFR\b,regex,Self-transfer: deposit online transfer
behavior_exclusion,\bTFR\s*FROM\s+\d{6,}\b,regex,Self-transfer: TFR FROM with account number
behavior_exclusion,\bFUNDS\s*TFER\b.*\bFROM\s+\d{6,}\b,regex,Self-transfer: funds transfer from account number
behavior_exclusion,\bPAY\s*BACK\b,regex,Repayment of money
behavior_exclusion,\bSAVINGS\b,regex,Savings transfer
behavior_exclusion,\bCONVERA\b,regex,Convera international remittance
behavior_exclusion,\bRPYMT\b,regex,Repayment abbreviation
behavior_exclusion,\bREPAY(?:MENT)?\b,regex,Repayment
behavior_exclusion,\bCASH\s*DEPOSIT\b,regex,Cash deposit
behavior_exclusion,\bDEPOSIT\s*CASH\b,regex,Cash deposit
behavior_exclusion,\bRFUNDS\b,regex,Refund variant
behavior_exclusion,\bOTHER\s*ACCOUNT\b,regex,Other account transfer
behavior_exclusion,\bRENT\b,regex,Rent payment
behavior_exclusion,\bATM\b,regex,ATM cash deposit
behavior_exclusion,\bE\s*BANKING\s*TRANSFER\b,regex,Internet banking self-transfer
behavior_exclusion,\bPAYMENT\s*THANK\s*YOU\b,regex,Payment acknowledgement
behavior_exclusion,\bNABATM\b,regex,NAB ATM cash deposit
behavior_exclusion,\bGIRLFRIEND\b,regex,Personal transfer (girlfriend)
behavior_exclusion,\bPSP\d+\b,regex,Financial product reference
behavior_exclusion,\bQUICK\s*ZONE\b,regex,Quick Zone money transfer service
behavior_exclusion,\bEXPENSES\s+ACCOUNT\b,regex,Expenses account transfer
behavior_exclusion,\bINTERNET\s*TRANSFER\s*CREDIT\s*FROM\s*X+\d+\b,regex,Internet transfer from masked account
behavior_exclusion,\bBET\s*365\b,regex,BET365 gambling
gig_family_exclusion,\bMUM\b,regex,Family transfer: MUM
gig_family_exclusion,\bMOM\b,regex,Family transfer: MOM
gig_family_exclusion,\bDAD\b,regex,Family transfer: DAD
gig_family_exclusion,\bDADDY\b,regex,Family transfer: DADDY
gig_family_exclusion,\bGIRLFRIEND\b,regex,Family transfer: GIRLFRIEND
gig_family_exclusion,\bBOYFRIEND\b,regex,Family transfer: BOYFRIEND
gig_family_exclusion,\bWIFE\b,regex,Family transfer: WIFE
gig_family_exclusion,\bHUSBAND\b,regex,Family transfer: HUSBAND
gig_family_exclusion,\bSON\b,regex,Family transfer: SON
gig_family_exclusion,\bDAUGHTER\b,regex,Family transfer: DAUGHTER
gig_family_exclusion,\bBROTHER\b,regex,Family transfer: BROTHER
gig_family_exclusion,\bSISTER\b,regex,Family transfer: SISTER
gig_family_exclusion,\bFAMILY\b,regex,Family transfer: FAMILY
gig_family_exclusion,\bFUEL\b,regex,Living expense: FUEL
gig_family_exclusion,\bPETROL\b,regex,Living expense: PETROL
gig_family_exclusion,\bFOOD\b,regex,Living expense: FOOD
gig_family_exclusion,\bGROCER\w*\b,regex,Living expense: GROCERY
gig_family_exclusion,\bSHOPPING\b,regex,Living expense: SHOPPING
gig_family_exclusion,\bME\b,regex,Personal transfer: ME
gig_personal_transfer,\bOSKO\b,regex,Personal transfer signal: OSKO
gig_personal_transfer,\bPAYMENT\s+FROM\b,regex,Personal transfer signal: PAYMENT FROM
gig_personal_transfer,\bFAST\s+TRANSFER\b,regex,Personal transfer signal: FAST TRANSFER
gig_personal_transfer,\bTRANSFER\s+CREDIT\b,regex,Personal transfer signal: TRANSFER CREDIT
gig_personal_transfer,\bNPP\s+FROM\b,regex,Personal transfer signal: NPP FROM
gig_personal_transfer,\bPAYID\b,regex,Personal transfer signal: PAYID
gig_personal_transfer,\bTRANSFER\s+IN\b,regex,Personal transfer signal: TRANSFER IN
gig_personal_transfer,\bM-BANKING\s+TRANSFER\b,regex,Personal transfer signal: M-BANKING TRANSFER
gig_personal_exclusion,\bNEXTBET\b,regex,Gambling payout: NEXTBET
gig_personal_exclusion,\bKENOGO\b,regex,Gambling payout: KENOGO
gig_personal_exclusion,\bGOAL\s*SAVER\b,regex,Self-transfer: GOAL SAVER savings account
gig_personal_exclusion,\bMETWAY\b,regex,Payment gateway: METWAY (merchant acquirer)
gig_personal_exclusion,\bSCHOOL\s*FEES?\b,regex,School fees
gig_personal_exclusion,\bDIRECT\s+DR\b,regex,Direct debit/return
gig_personal_exclusion,\bTFC\b,regex,Transfer suffix: TFC
gig_personal_exclusion,\bTFD\b,regex,Transfer suffix: TFD
gig_personal_exclusion,\bFROM\s+\d{3,4}-\d{3}-\d{3,}\b,regex,Self-transfer: transfer from account number
gig_personal_exclusion,\bFROM\s+\d{7,}\b,regex,Self-transfer: transfer from long account number
gig_personal_exclusion,\bSENT\s+FROM\s+REVOLUT\b,regex,International remittance: REVOLUT
gig_personal_exclusion,\bCARD\s+USE\b,regex,Card use
gig_personal_exclusion,\bEXPENSES\b,regex,Expense reimbursement
gig_personal_exclusion,\bCAR\b,regex,Car loan/repayment
gig_personal_exclusion,\bTNX\b,regex,Personal transfer: TNX (thanks)
gig_personal_exclusion,\bBEEM\b,regex,Personal transfer app: BEEM
gig_personal_exclusion,\bPAYMENT\s+LINK\b,regex,Payment link
gig_personal_exclusion,\bRECEIPT\b(?!\s*\d+),regex,Receipt (Osko system ref "Receipt <digits>" is not a receipt document)
gig_personal_exclusion,\bINVOICE\b,regex,Invoice (keyword rule handles platform invoices separately)
