priority,rule_name,category,pattern,counterparty,match_type,zero_amount_reject,description,unclassified_only,dr_cr
13,transaction_fee_bare,fee,^TRANSACTION\s+FEE\b,Transaction Fee,regex,false,TRANSACTION FEE (bare),false,
14,monthly_service_fee,fee,^Monthly\s+Service\s+Fee\b,Monthly Service Fee,regex,false,Monthly Service Fee,false,
15,establishment_fee,fee,^Establishment\s+Fee\b,Establishment Fee,regex,false,Establishment Fee,false,
20,atm_operator_fee_withdrawal,fee,^ATM\s+OPERATOR\s+FEE\s+WITHDRAWAL\s+,ATM Operator Fee,regex,false,ATM OPERATOR FEE WITHDRAWAL,false,
21,atm_operator_fee_dash_withdrawal,fee,^ATM\s+OPERATOR\s+FEE\s+-\s+WITHDRAWAL\s+AT\s+,ATM Operator Fee,regex,false,ATM OPERATOR FEE - WITHDRAWAL AT,false,
22,atm_operator_fee_time,fee,^ATM\s+OPERATOR\s+FEE\s+-\d{2}:\d{2},ATM Operator Fee,regex,false,ATM OPERATOR FEE -HH:MM,false,
23,atm_operator_fee_wdl,fee,^Atm\s+Operator\s+Fee\s+(?:Wdl|Inq)\s+,ATM Operator Fee,regex,false,Atm Operator Fee Wdl/Inq,false,
24,atm_operator_fee_np,fee,^ATM\s+Operator\s+Fee\s+-\s+Np\s+-,ATM Operator Fee,regex,false,ATM Operator Fee - Np,false,
25,atm_operator_fee_coles,fee,^ATM\s+Operator\s+Fee\s+-\s+Coles\s+,ATM Operator Fee,regex,false,ATM Operator Fee - Coles,false,
26,atm_owner_fee,fee,ATM\s+owner\s+fee\s+of\s+\$,ATM Operator Fee,regex,false,ATM owner fee of $X.XX,false,
27,fees_bbl_atm,fee,^FEES\s+BBL\s+ATM\s+,ATM Operator Fee,regex,false,FEES BBL ATM,false,
28,fees_eftex_atm,fee,^FEES\s+EFTEX\s+ATM\s+,ATM Operator Fee,regex,false,FEES EFTEX ATM,false,
29,fees_sml_atm,fee,^FEES\s+SML\s+ATM\s+,ATM Operator Fee,regex,false,FEES SML ATM,false,
30,ofi_atm_operator_fee,fee,OFI\s+ATM\s+.*INCLUDES\s+OFI\s+ATM\s+OPERATOR\s+FEE\s+OF\s+\$,ATM Operator Fee,regex,true,OFI ATM operator fee (informational at $0),false,
31,non_anz_atm_operator_charge,fee,NON-ANZ\s+ATM\s+.*INCLUDES\s+ATM\s+OPERATOR\s+(?:FEE|CHARGE)\s+\$,ATM Operator Fee,regex,false,NON-ANZ ATM operator charge,false,
32,visa_cash_advance_fee,fee,^Visa\s+Cash\s+Advance\s+Fee,Visa Cash Advance Fee,regex,false,Visa Cash Advance Fee,false,
33,interest_charged_interest_on,fee,^INTEREST\s+CHARGED\s+INTEREST\s+ON,Interest Charged,regex,false,INTEREST CHARGED INTEREST ON PURCHASE(S) / CASH ADV(S),false,
34,interest_charged_on_cash,fee,^INTEREST\s+CHARGED\s+ON\s+CASH,Interest Charged,regex,false,INTEREST CHARGED ON CASH,false,
35,debit_interest_adjusted,fee,^Debit\s+Interest\s+Adjusted\s+Value\s+Date,Debit Interest Adjusted,regex,false,Debit Interest Adjusted Value Date: DD/MM/YYYY,false,
36,interest_debit_comprised,fee,^Interest\s+debit\s+comprised,Interest Debit,regex,false,"""Interest debit comprised of:""",false,debit
37,fees_annual_package_fee,fee,^FEES\s+ANNUAL\s+PACKAGE\s+FEE,Annual Package Fee,regex,false,FEES ANNUAL PACKAGE FEE,false,
38,atm_operator_fee_slash,fee,^ATM\s+OPERATOR\s+FEE\s+/\s+,ATM Operator Fee,regex,false,ATM OPERATOR FEE / location / number format,false,
39,atm_operator_fee_bare,fee,^ATM\s+Operator\s+Fee\b,ATM Operator Fee,regex,false,ATM Operator Fee (bare title),false,
40,international_txn_fee,fee,^International\s+Transaction\s+Fee,International Transaction Fee,regex,false,International Transaction Fee,false,
41,international_txn_fee_upper,fee,^INTERNATIONAL\s+TRANSACTION\s+FEE,International Transaction Fee,regex,false,INTERNATIONAL TRANSACTION FEE (uppercase variant - fee engine is case-sensitive),false,
41,international_atm_fee,fee,^International\s+ATM\s+Withdrawal\s+Fee,International ATM Fee,regex,false,International ATM Withdrawal Fee,false,
42,intnl_txn_fee,fee,^INTNL\s+TRANSACTION\s+FEE,International Transaction Fee,regex,true,INTNL TRANSACTION FEE,false,
43,foreign_currency_conversn_fee,fee,^Foreign\s+Currency\s+Conversi?on\s+Fee,Foreign Currency Conversion Fee,regex,false,Foreign Currency Conversn Fee,false,
44,overseas_currency_fee,fee,^Overseas\s+Currency\s+Conversion\s+Fee,Foreign Currency Conversion Fee,regex,false,Overseas Currency Conversion Fee,false,
44,atm_direct_charge,fee,^ATM\s+DIRECT\s+CHARGE,ATM Direct Charge,regex,false,ATM DIRECT CHARGE FOR WITHDRAWAL,false,
45,non_cba_atm_fee,fee,^Non\s+CBA\s+ATM\s+Withdrawal\s+Fee,Non-CBA ATM Fee,regex,false,Non CBA ATM Withdrawal Fee,false,
45,non_cba_atm_enquiry_fee,fee,^Non\s+CBA\s+ATM\s+Enquiry\s+Fee,Non CBA ATM Enquiry Fee,regex,false,Non CBA ATM Enquiry Fee,false,
46,overseas_withdrawal_fee,fee,^OVERSEAS\s+WITHDRAWAL\s+FEE,Overseas Withdrawal Fee,regex,false,OVERSEAS WITHDRAWAL FEE O/S ATM ...,false,
46,ird_conv_fee,fee,^IRD\s+Conv\s+Fee\s+,International Transaction Fee,regex,false,IRD Conv Fee,false,
47,intl_txn_fee_rev_credit,fee,^V\d{4}\s+\d{2}/\d{2}\s+INTL\s+TXN\s+FEE\s+REV,International Transaction Fee Refund,regex,false,"""V6199 19/06 INTL TXN FEE REV-MC ... MISCELLANEOUS CREDIT"" format",false,
47,rtgs_payment_fee,fee,^RTGS\s+payment\s+fee,RTGS Payment Fee,regex,false,RTGS payment fee,false,
48,dir_chg_oth_atm_fees,fee,DIR\s+CHG\s+OTH\s+ATM,ATM Operator Fee,regex,false,SML/EFTEX/BBL/CUECARD ATM ... DIR CHG OTH ATM FEES,false,
49,non_anz_atm_balance_enquiry,fee,^NON-ANZ\s+ATM\s+BALANCE\s+ENQUIRY,ATM Balance Enquiry Fee,regex,false,NON-ANZ ATM BALANCE ENQUIRY AT ...,false,
50,security_processing_fee,fee,^Security\s+Processing\s+Fee,Security Processing Fee,regex,false,Security Processing Fee (loan security processing),false,debit
50,foreign_fee_aud,fee,^FOREIGN\s+FEE\s+AUD\s+,Foreign Currency Fee,regex,true,FOREIGN FEE AUD (informational at $0),false,
51,account_servicing_fee_reversal,fee,^REVERSAL\s+OF\s+ACCOUNT\s+SERVICING\s+FEE,Account Servicing Fee Refund,regex,false,REVERSAL OF ACCOUNT SERVICING FEE ...,false,
52,fee_refund_generic,fee,^(?:DEPOSIT\s+FEE\s*REFUND|VISA\s+FEE\s+REFUND|INTNL\s+TRANS\s+FEE\s+REFUND|FEE\s+REFUND|RFND\b),Fee Refund,regex,false,DEPOSIT FeeRefund / Visa Fee Refund / INTNL TRANS FEE REFUND / Rfnd O'Seas,false,
53,debit_adjustments_fee,fee,^DEBIT\s+ADJUSTMENTS\s+C\s+ADV\s+INTERNET\s+TFR\s+FEE,Debit Adjustment Fee,regex,false,DEBIT ADJUSTMENTS C ADV INTERNET TFR FEE,false,
54,asic_company_fee,fee,\bASIC\b|Australian\s+Securities\s+and\s+Investments\s+Commission,ASIC Fee,regex,false,ASIC annual review / company fee,false,
60,includes_foreign_currency_fee,fee,^Includes\s+Foreign\s+Currency\s+Conversion\s+Fee\s+\$,Foreign Currency Conversion Fee,regex,true,Includes Foreign Currency Conversion Fee (informational at $0),false,
70,fees_included_waived,fee,^FEES\s+INCLUDED\s+IN\s+TRAN\s+(?:USD|AUD|GBP|EUR|NZD),Foreign Currency Fee,regex,true,FEES INCLUDED IN TRAN (informational at $0),false,
80,monthly_fee,fee,^MONTHLY\s+FEE$,Monthly Account Fee,regex,false,MONTHLY FEE,false,
81,monthly_card_fee,fee,^MONTHLY\s+CARD\s+FEE$,Monthly Card Fee,regex,false,MONTHLY CARD FEE,false,
82,fees_monthly_card_fee,fee,^FEES\s+MONTHLY\s+CARD/CREDIT\s+FEE,Monthly Card Fee,regex,false,FEES MONTHLY CARD/CREDIT FEE,false,
83,loan_account_fee,fee,^LOAN\s+ACCOUNT\s+FEE$,Loan Service Fee,regex,false,LOAN ACCOUNT FEE,false,
84,fees_loan_service_fee,fee,^FEES\s+LOAN\s+SERVICE\s+FEE,Loan Service Fee,regex,false,FEES LOAN SERVICE FEE,false,
85,account_servicing_fee,fee,^ACCOUNT\s+SERVICING\s+FEE,Account Service Fee,regex,false,ACCOUNT SERVICING FEE,false,
86,card_fee,fee,^CARD\s+FEE$,Card Fee,regex,false,CARD FEE,false,
87,annual_fee,fee,^Annual\s+Fee$,Annual Fee,regex,false,Annual Fee,false,
88,bankpost_deposit_fee,fee,^Bank@Post\s+Deposit\s+Fee,Bank@Post Fee,regex,false,Bank@Post Deposit Fee,false,
89,bankpost_withdrawal_fee,fee,^Bank@Post\s+Withdrawal\s+Fee,Bank@Post Fee,regex,false,Bank@Post Withdrawal Fee,false,
89,monthly_platinum_debit_fee,fee,^MISCELLANEOUS\s+DEBIT\s+V\d{4}\s+\d{2}/\d{2}\s+MNTHLY\s+PLATINUM\s+DEBIT\s+FEE,Monthly Platinum Debit Fee,regex,false,MNTHLY PLATINUM DEBIT FEE (misspelled MONTHLY) via Miscellaneous Debit,false,
90,fee_servicing_loan,fee,^Fee\s+for\s+servicing\s+your\s+loan,Loan Service Fee,regex,false,Fee for servicing your loan,false,
91,lending_establishment_fee,fee,^LENDING\s+ESTABLISHMENT\s+FEE,Establishment Fee,regex,false,LENDING ESTABLISHMENT FEE,false,
100,cba_cash_adv_fee,fee,^CBA\s+OTHER\s+CASH\s+ADV\s+FEE,Cash Advance Fee,regex,false,CBA OTHER CASH ADV FEE,false,
101,cash_advance_fee_upper,fee,^CASH\s+ADVANCE\s+FEE,Cash Advance Fee,regex,false,CASH ADVANCE FEE,false,
102,cash_advance_fee_title,fee,^Cash\s+Advance\s+Fee,Cash Advance Fee,regex,false,Cash Advance Fee (title case),false,
120,late_payment_fee,fee,^LATE\s+PAYMENT\s+FEE,Late Payment Fee,regex,false,LATE PAYMENT FEE,false,
121,late_payment_fee_lower,fee,^Late\s+payment\s+fee,Late Payment Fee,regex,false,Late payment fee,false,
122,late_fee,fee,^LATE\s+FEE$,Late Payment Fee,regex,false,LATE FEE,false,
123,steppay_late_fee,fee,^STEPPAY\s+LATE\s+FEE,Late Payment Fee,regex,false,STEPPAY LATE FEE,false,
124,missed_payment_fee,fee,^MISSED\s+PAYMENT\s+FEE,Late Payment Fee,regex,false,MISSED PAYMENT FEE,false,
130,commbank_advancepay_fee,fee,^CommBank\s+AdvancePay\s+Fee,AdvancePay Fee,regex,false,CommBank AdvancePay Fee,false,
140,raiz_maint_fee_direct_debit,fee,Direct\s+Debit\s+\d+\s+Raiz\s+Maint\s+Fee\s+,Raiz Maintenance Fee,regex,false,Raiz Maint Fee via Direct Debit,false,
141,raiz_maint_fee_automatic,fee,^AUTOMATIC\s+DRAWING\s+\w+\s+Raiz\s+Maint\s+Fee,Raiz Maintenance Fee,regex,false,Raiz Maint Fee via Automatic Drawing,false,
150,uwu_fees_automatic,fee,^AUTOMATIC\s+DRAWING\s+UWDues\d+\s+UWU\s+FEES,Union Membership Fee,regex,false,UWU FEES via Automatic Drawing,false,
151,uwu_fees_authority,fee,^PAYMENT\s+BY\s+AUTHORITY\s+TO\s+UWU\s+FEES,Union Membership Fee,regex,false,UWU FEES via Payment Authority,false,
160,refund_of_fee,fee,^REFUND\s+OF\s+FEE\s+,Fee Refund,regex,false,REFUND OF FEE,false,
161,late_fee_reversal,fee,^LATE\s+FEE\s+REVERSAL,Fee Refund,regex,false,LATE FEE REVERSAL,false,
170,monthly_fee_waived,fee,^MONTHLY\s+FEE\s+WAIVED,Fee Waived,regex,true,MONTHLY FEE WAIVED (informational at $0),false,
171,waive_overdrawn_fee,fee,^WAIVE:\s+HONOUR/OVERDRAWN\s+FEE,Fee Waived,regex,false,WAIVE: HONOUR/OVERDRAWN FEE,false,
180,atm_charge,fee,^ATM\s+Charge\s+,ATM Operator Fee,regex,false,ATM Charge,false,
181,atm_owners_charge,fee,^ATM\s+Owners\s+charge\s+-\s+WDL\s+,ATM Operator Fee,regex,false,ATM Owners charge,false,
190,loan_administration_charge,fee,^LOAN\s+ADMINISTRATION\s+CHARGE,Loan Administration Charge,regex,true,LOAN ADMINISTRATION CHARGE (informational at $0),false,
200,fx_fee_is,fee,FX\s+FEE\s+IS\s+A\$,Foreign Currency Fee,regex,false,FX FEE IS A$X.XX,false,
210,interest_charges_purch,fee,^INTEREST\s+CHARGES\s+-\s+PUR,Interest Charges,regex,false,INTEREST CHARGES - PUR CH,false,
211,interest_charges_cash,fee,^INTEREST\s+CHARGES\s+-\s+CAS,Interest Charges,regex,false,INTEREST CHARGES - CASH,false,
212,interest_charges_purch_title,fee,^Interest\s+Charges\s+-\s+Purch,Interest Charges,regex,false,Interest Charges - Purch (title case),false,
213,interest_charges_cash_title,fee,^Interest\s+Charges\s+-\s+Cash,Interest Charges,regex,false,Interest Charges - Cash (title case),false,
214,interest_on_cash_adv,fee,^INTEREST\s+ON\s+CASH\s+ADV,Interest Charges,regex,false,INTEREST ON CASH ADV,false,
215,cash_advance_interest,fee,^CASH\s+ADVANCE\s+INTEREST,Interest Charges,regex,false,CASH ADVANCE INTEREST,false,
216,visa_purchase_interest,fee,^VISA\s+PURCHASE\s+INTEREST,Interest Charges,regex,false,VISA PURCHASE INTEREST,false,
217,instalment_plan_interest,fee,^INSTALMENT\s+PLAN\s+INTEREST,Interest Charges,regex,false,INSTALMENT PLAN INTEREST,false,
218,interest_charged_on_purchases,fee,^INTEREST\s+CHARGED\s+ON\s+PURCHASES,Interest Charges,regex,false,INTEREST CHARGED ON PURCHASES,false,
219,interest_base_plan,fee,^INTEREST\s+-\s+BASE\s+PLAN,Interest Charges,regex,false,INTEREST - BASE PLAN,false,
220,interest_charged_dup,fee,^INTEREST\s+CHARGED\s+INTEREST\s+CHARGED,Interest Charges,regex,false,INTEREST CHARGED INTEREST CHARGED (duplicated),false,
221,interest_charged_bare,fee,^INTEREST\s+CHARGED$,Interest Charges,regex,false,INTEREST CHARGED (bare),false,
222,debit_interest_charged,fee,^DEBIT\s+INTEREST\s+CHARGED,Interest Charges,regex,false,DEBIT INTEREST CHARGED,false,
223,debit_interest_title,fee,^Debit\s+Interest$,Interest Charges,regex,false,Debit Interest (title case),false,
224,interest_charged_title,fee,^Interest\s+charged$,Interest Charges,regex,false,Interest charged (title case),false,
225,interest_charges_bare,fee,^INTEREST\s+CHARGES$,Interest Charges,regex,false,INTEREST CHARGES (bare),false,
226,interest_debit,fee,^INTEREST\s+DEBIT$,Interest Charges,regex,false,INTEREST DEBIT,false,
227,interest_bare,fee,^INTEREST$,Interest Charges,regex,true,"INTEREST (bare, informational at $0)",false,debit
228,interest_bare_title,fee,^Interest$,Interest Charges,regex,true,"Interest (bare title, informational at $0)",false,debit
999,fee_keyword_catchall,fee,"^(?!.*(?:BIZ\s+CORE|SCHOOL\s+FEES|BODY\s+CORP|BOXING\s+FEES|DISHONOUR)).{0,40}?\bfees?\b",Fee,regex,true,Keyword catch-all: standalone fee word in title position; unclassified-only; $0 informational lines rejected,true,
